year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
2006,545.000663567928,39.74900409687,23.5830852346525,15.1363253859867,12.827899515273,12.4148374630713,10.1152435315125,9.29895773042527,12.3496605017922,14.1691003408456,12.044537295026,13.8411964277961,11.7838923797603,19.3284262019706,19.4501468423746,25.1988538191248,35.4706904816387,58.0990043345739,61.7775044566055,71.0389413686269,74.6746019878054,69.250036835126,75.1116726523872,76.9364988818207,73.2123845518108,79.5679825782842,72.6908607707793,84.5402426152638,75.5604007627876,92.2698345976545,94.7039373750593,99.1178320855564,110.182879898791,107.880388512287,110.351774900695,123.015175493015,130.120645679142,136.205957861008,142.545508031974,149.671598221986,156.914733161234,175.238437117413,185.429959010643,200.608216578204,226.667750278047,238.506032967799,261.023530242762,285.460831932522,315.215035757206,340.522822596998,377.507235334889,429.047640748099,443.479831139671,507.604104506566,552.695889811829,591.114601097962,661.675200660049,693.216164873883,756.013193122902,807.718786579571,913.524598715082,1052.02177502919,1139.5280626619,1260.31973141886,1393.1404594756,1514.15489655771,1661.9328977703,1818.69293667575,2006.30204277242,2131.94708970998,2399.51710962732,2664.37841198667,2952.9064512663,3222.4087207478,3598.33823526725,4023.30561025366,4497.52117019285,5020.24968605417,5542.26239556918,6228.83463871999,6936.18810037779,7546.30701720959,8586.10230249552,9351.24765569019,10324.393497409,11594.2691706417,12914.719822515,11839.139864117,14496.2492903382,16829.7321186009,17845.4638089594,19663.7960519263,21172.4605352337,22908.1126999858,24318.1201095945,26152.9647665425,28196.5636106138,31760.0786627335,32180.6991942136,30546.2412114657,35300.4484304933,35197.9886863608,41051.3141426784,40054.1271989175,43636.3636363636,48730.9644670051,38095.2380952381,63157.8947368421,55172.4137931035,1E-10,1E-10,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2007,536.032164444826,40.7348675918419,28.2369525594761,19.3803348351524,14.5332580073621,11.6266522108624,11.2069287555424,9.50318269274778,12.5122232180622,10.9510448231607,7.04519361235779,11.9744462713429,13.5165870617669,16.3165772919772,20.5371283072938,28.0282005864219,34.4910819603444,49.3989942635111,63.3675130107613,65.4870414757395,68.6551366666314,73.7965990432798,70.7990088138766,71.898840510155,78.3957836702435,73.3685808223701,79.244590763636,77.7420002945134,84.112845197628,78.8075015869143,91.7758764331716,101.2239576811,110.910749355092,113.465492493308,114.97914521303,124.71993389162,126.346231823208,130.516590315015,136.94059874442,154.272748285401,160.408435996503,166.955973613929,200.986856097665,198.070956449632,211.082255911534,237.789673469411,245.165970986204,272.442268574752,288.566171678685,326.987178872321,352.067902470273,397.609304429073,435.788443278216,502.163975273347,537.891951540098,603.370054466624,649.010235008445,670.491873766801,766.318670966375,815.582724304759,867.85839975909,995.455560173451,1130.76562888032,1214.87108166343,1358.66282240079,1497.53286325239,1624.57327279859,1755.18544950116,1978.11314753555,2151.61718671258,2286.7326026909,2546.66412198725,2861.058934741,3107.4177048699,3523.84743694736,3965.7749229519,4413.52108814123,4889.16569542252,5368.78093678757,5996.72980531221,6653.6531494858,7539.33019799239,8409.8868192661,9208.11657835508,10120.364063819,11185.5372156949,12647.0239285151,14017.8521195754,12758.7215284472,16188.4294137559,18362.9368984811,18752.6109115214,21235.6602705901,22725.5304469298,23443.3951210367,27600.9628242846,28390.9475254912,31411.4549547831,35378.7971208979,34621.686746988,35517.9704016913,41731.4095449501,43381.1802232855,33443.3443344334,38427.9475982533,54106.2801932367,53781.512605042,32653.0612244898,1E-10,44444.4444444445,44444.4444444445,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2008,523.220822924388,36.9221065343795,18.4732985227774,16.5480734963424,12.4620383810012,14.2380118609758,12.1800825200591,10.872150307478,11.9603791579267,10.2877524983333,11.7045090290977,9.09484526907262,9.84704366807559,11.6536156961255,14.2176003737198,21.1721094005741,36.2586387902688,52.8637072847215,59.4226806508854,64.3110601268676,75.4975685520967,63.7932899596656,72.8690934576385,75.480314485536,71.3596793348992,72.014780973982,81.0580959321366,78.9430094907823,83.2491488008381,86.8926829728372,90.4828493871843,97.6744535274287,92.666686615745,111.874654929509,121.148808349418,134.351357724952,125.925223405445,131.489066799921,154.643836605181,150.324545792479,164.527973938942,184.711505313648,181.559351613366,205.211312513335,207.138925851309,242.532759981219,256.436196405087,291.099896585957,302.418456084834,327.721109335955,376.642704497674,397.410681084654,422.352446085895,469.532807340891,518.965958956752,576.162822117003,615.672899766404,682.357712908729,719.006268947693,803.326201827387,873.171961436164,946.555744320422,1042.85991862445,1218.32468858798,1289.10436177047,1436.49579583857,1580.48928340258,1711.10957538182,1955.78780751698,2129.31333548347,2312.72759233033,2537.11066103235,2790.48108753297,3135.08075476795,3337.99318550059,3805.08564822343,4193.61494918324,4691.02141918836,5262.38802132969,5963.69762730901,6526.41581880886,7379.35127329909,8079.21299602426,8920.72074360896,10076.7593987202,11108.0359587812,12518.7672760384,13687.6793718208,15511.8609551041,13724.4480018009,17009.6122217755,19996.0749253146,21006.7827296223,22888.8261757333,24565.4433874736,27271.2918811381,30137.9521045334,32511.2588462363,33080.6018896536,37709.388391118,40406.6073697586,38685.1399076338,43707.3170731707,44088.1763527054,51063.829787234,51724.1379310345,63636.3636363636,57142.8571428571,1E-10,1E-10,1E-10,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2009,511.114671245579,31.8964362585231,18.7150757138898,10.7967681796806,9.22355002911183,11.3460339730698,10.521747136112,7.51755783459638,10.8173273657744,8.0227569651017,7.8031271031866,10.3118815349897,10.0730197072819,13.643447171382,14.4167429874452,25.6621769388231,28.721018697071,49.5341381410729,56.5989500656952,63.6376161949328,64.355907671212,67.1209490318533,60.1169385325862,65.1881269809388,67.3120345268373,72.5189326000333,80.0112015682196,73.520175231041,84.1348541487247,81.5071153273434,90.9010567247844,83.1610348589696,94.1049334640634,97.4787889536373,111.104945580835,132.281677604595,127.177419283483,131.952584208184,143.74404740908,154.925696529332,175.558054895068,182.365080863806,194.568991897394,206.229805330592,224.107494833773,235.812774124282,257.432163423454,258.549508208444,285.661221201721,311.603081897199,338.319618466856,384.608226894041,418.602919177535,460.429665680079,481.022213339796,570.83337201933,610.947511397859,654.83691195837,738.600970896058,791.298212377848,868.401726340781,933.245407872798,986.083576954462,1096.82064096921,1252.62320330931,1326.74258757248,1498.08973477185,1643.40243248028,1860.58107470975,2041.91939233874,2159.29699254303,2408.32412267171,2700.17805955697,2951.33240744273,3238.97156276954,3601.79811911434,4100.52708372418,4462.46852076772,4892.95396973668,5521.09597595722,6367.19516251461,6938.0765203595,7777.53377084344,8587.02292910643,9608.23184882167,10654.3860180661,11698.3681959288,13279.8769363391,14880.440617458,16662.3137764851,15589.4717900901,17414.8589903227,19605.6791550082,21199.6923865676,23060.5453004527,25716.9366925987,26839.8814403733,29380.3207285686,29547.5530932595,31572.72035832,34130.1059001513,37185.9296482412,35345.5818022747,44891.122278057,41713.2216014898,53674.1214057508,10000,47058.8235294118,57142.8571428571,51612.9032258065,55172.4137931035,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2010,464.661966786549,32.1535914751607,19.4177986330467,15.5985298462334,10.2337359040128,10.2979250697227,10.7898554608946,7.38729229455692,10.6727357034018,11.3372579141146,8.80373718643564,9.63038064079483,11.0434408206328,9.75866563087847,12.7861009967725,17.3472706748216,22.8977401237162,38.794623855852,53.869754237283,46.5787744600428,55.2257676381702,67.5184732266371,59.9134038184138,68.1814021421324,64.3369754753437,60.9131013928913,63.3369123433145,68.5002127298994,70.3939640719129,78.5298243937611,86.5592467956878,85.4006815262253,96.2389671959069,90.6220389700586,107.308307472711,103.921730659916,113.876488186542,124.369686537747,140.090516549887,153.739964158545,159.45881720645,168.013661761079,177.858464788633,186.592215231553,232.461326364497,242.234942817347,242.043232148505,256.2302264689,281.287122993632,298.840526364222,331.938927529648,369.955672994059,419.523810562441,444.014018304291,487.629342948836,546.045748550341,624.279222567777,659.132689604643,707.192613194571,762.393782924496,860.322035510231,907.489388583078,1001.12597875199,1096.59453873228,1189.53895011576,1316.92789968652,1465.91714854037,1592.27586908123,1778.84583743493,1985.59125750189,2156.14468397678,2372.264166205,2626.12705839067,2893.94272807442,3202.74521018016,3538.88033365611,3890.92159785119,4372.1800275266,4902.65976751959,5310.70015682819,6054.26475020955,6809.67245788549,7502.38136364509,8244.39142925147,9353.38168291987,10429.0302801888,11432.2991516201,12765.8460514359,13967.1966935569,16228.8291255495,16394.713152137,17235.7151827201,19682.8431407517,22498.5955663109,24987.7179383604,25955.3328185778,27616.6115582174,29073.1829260671,33661.6659089761,31930.3338171263,38659.3081168394,42846.5162410117,35815.4408405665,34782.6086956522,35294.1176470588,33472.8033472803,43243.2432432432,41379.3103448276,50000,1E-10,76190.4761904762,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2011,493.533036501832,35.3981030329862,19.953790513085,11.4300360350522,10.1982410583735,11.507942605444,9.74729131912327,8.29995770479886,9.65316737456561,10.6480910239111,8.74541394724259,8.21043902585878,10.6443242301077,8.63003152903564,12.7634780733019,17.2261633755934,23.7337477481344,35.1425608359506,40.5856114893735,48.9797552307376,53.0316824471959,54.4561364972806,58.6550726679196,50.9190045104215,51.386346131623,65.6424290472371,58.9553559990961,62.7675268218465,73.1121573780065,75.4019692946425,79.460337631581,81.5111804442244,81.1062656081106,88.9913075465008,99.9996465308124,107.770706384239,119.403469757418,128.772832849313,130.877019951403,139.408427780851,156.24689657912,166.743295019157,190.828811202309,186.968176458299,208.941155227479,223.835647439504,234.76719320907,236.078808534378,275.242691739955,290.411938164597,312.746134782975,350.120294062783,402.335208368768,437.913575915505,455.367003580799,528.709892230451,576.603323154383,619.365671421369,706.164213399621,730.590716692516,813.848885466442,879.349483789805,971.484131562189,1049.76999911743,1154.66928096528,1228.05440709449,1420.67525765825,1524.08635203179,1648.19827240262,1845.06082576042,2177.27588534171,2379.23963552777,2554.31274702708,2731.21484977353,3132.58701661984,3306.89046970216,3762.16074273638,4094.6485369878,4548.36105653914,5178.63954419288,5793.02008589872,6426.98249408703,7293.42993867474,8112.01895543985,9014.25887462007,10042.2866007305,10961.6762402745,12380.0418895546,13682.5796040292,15263.9200206296,16650.824194932,18035.9357678334,18539.2826971815,22347.4456884407,23911.6491154416,25471.8549301096,28018.3266603376,30406.8909435894,31651.7189835576,34987.5930521092,34556.3361956805,41225.3621467585,41099.5944118973,41834.2719227675,42048.5175202156,34501.3477088949,41290.3225806452,41025.641025641,100000,1E-10,50000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2012,458.536424193702,32.192379724852,18.2146197134466,10.4195273851229,11.3773908365629,11.1676083519751,9.37782983341653,7.28115085331043,10.7473952206471,8.76522383306773,9.45440897767757,11.514149239522,11.1760282371894,10.0685856154357,13.016325074909,13.2199636705229,20.4339953569422,33.9129197862104,50.779467883665,46.1385267211458,47.9916736775862,45.5174597201465,49.5458298926507,57.8564251646864,49.0015224246366,57.1653066087469,60.3373479547769,57.1753811763835,65.0214638073985,71.8596124480447,77.7595472252472,80.2060003537822,75.6760591692188,92.0947703027855,89.4609376608689,98.1871773602532,101.627569343623,115.116591522852,126.818337637266,140.526964346873,158.063574232359,151.555168985396,159.523039517141,192.837102122308,205.956016487402,215.210989978632,228.621973512927,255.2280497984,264.264893169999,288.261784731237,312.41759146193,335.752819329373,364.667880826777,408.781937239697,454.367253390163,496.86274101745,556.648287892462,594.467776005878,652.378860910701,727.785607551307,790.871063446892,897.62493781025,959.781674478774,1025.31248806526,1112.94679115038,1211.75271869411,1333.81482027414,1535.77560290059,1617.21196573665,1840.7325492755,2035.27412001156,2281.33752818404,2555.254466932,2751.09130646386,3021.01385586484,3373.5700142118,3738.78146481686,4129.4740885333,4632.17715876567,5019.56841221396,5623.19209129343,6493.07928694754,7244.89278272649,8148.47242450519,9071.7601197114,10115.5585329091,11489.8742163045,12641.4338905145,13910.1045963281,15262.5519969566,16744.9659578774,18687.0229007634,20265.8478445315,21254.4946064722,23860.1860042556,27353.583848829,30057.8984108734,32086.3058987298,33560.2117531919,36928.2652989531,38122.7436823105,38149.3506493507,39983.6132732487,42578.7106446777,46866.485013624,48598.1308411215,18957.345971564,42105.2631578947,74418.6046511628,1E-10,1E-10,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2013,433.42081804039,32.2764894942418,18.0441455072195,11.0148684936686,10.8559282620522,8.86283379878598,7.32919886485874,11.1556580751885,7.5199833486083,7.68614979825572,7.88513887172815,6.5611463178419,10.9061546366887,13.5742398934694,12.9271269493333,16.3308209574981,22.2814072101241,29.1210891287334,39.9587550724986,50.7265521796565,43.968854602425,47.5064312407827,43.0835066625964,52.2683305792447,53.6897788652233,61.7322619406938,61.0318560762086,63.2630677774378,59.0288889784999,69.2080225380469,71.1971060470424,81.5324381799451,85.6481254975275,86.7528311474965,94.503909800205,100.928868921484,110.85531319204,124.872220995799,134.352191635763,147.115839931836,152.239100095149,167.568297932363,186.52216914441,187.060111219193,204.813220682395,231.49204437368,238.571461697794,244.904080134341,271.764505108464,296.574788330831,306.00204532999,343.916279283815,376.938154092596,414.366467820464,459.780163761283,479.276796539117,540.121592653511,607.456974052523,663.759394917943,765.154357993392,823.721702386697,877.793098410205,980.761043204867,1038.13441895475,1133.9030408681,1237.1807670666,1346.54528089166,1428.37678350397,1620.93062198026,1789.03556640841,1990.24292932981,2168.71642480251,2540.25191451202,2764.44656778649,3006.96752439951,3364.04248193496,3670.62458091875,4018.28707634246,4586.76672435196,4985.48282537488,5705.89750275288,6405.64359637775,7353.23726653299,8043.20670591418,8995.32670048524,10158.1332815151,11293.4568808209,12349.440804531,13841.6365357082,15412.6630269209,16817.3514925891,18535.7407174675,20950.4933430997,22464.9128309828,22786.0260185011,27193.2498115145,29276.3443662584,32336.3932484454,33617.5608902882,35032.8258136611,39084.3867441066,40329.3834103234,41346.4807888473,36098.981077147,50645.9948320414,53846.1538461538,32487.3096446701,39716.3120567376,32653.0612244898,1E-10,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2014,414.019473025961,34.8875705344947,16.8448771632411,13.3802382363365,7.29592610686039,9.56397178260479,11.2678712878411,8.55068149245858,6.7129017776603,10.4249050982798,10.9286183630842,10.087555074373,10.4994995002096,10.8465374862593,13.2240460385717,14.6831664379523,21.893229937189,29.3775813274084,41.9644971663101,45.9287649767378,48.1746866346392,48.8996410906726,47.5224651653509,56.6724662225486,53.3612145679451,47.594678305934,70.5117810609198,65.2480217370441,63.8395620606043,71.7110658711671,77.2897524348883,76.2333098435103,78.06145834208,84.5538692011383,92.816375295989,104.482340213149,99.8880695869983,112.131572867639,145.693044876387,137.627649645046,161.919481857658,170.68356708644,161.515211752607,185.028003191512,206.275651762897,229.01474983686,240.529361391812,251.442692918867,267.572179296036,297.961183949946,311.850818364765,348.726517617105,368.714983317895,397.35091647909,445.156244539485,485.113002121443,512.025836676919,583.35925130756,664.052740798148,731.620892857583,786.638484693326,864.676169874992,956.424755328282,1034.14019493909,1137.33640057271,1226.80101321246,1291.64573413314,1441.42428469223,1557.98240345084,1777.61554957339,1941.85895456792,2148.70764226107,2454.15246910441,2625.7082480391,3004.5592984461,3243.87540158988,3577.81585515397,3928.95583294076,4421.92096175982,4868.11592547322,5547.17025376068,6103.5433372997,6901.97823572847,7784.77479506792,8623.63266135008,9769.4387344433,10728.3787511433,12187.587011575,13525.4688051236,14804.9247402369,16216.0957453921,17442.0373007424,19999.061637613,21788.1634112256,22404.0295440989,24972.2271748522,28332.6770792317,29740.7746264105,33451.2595371041,34206.2512184028,32031.1654582837,36860.3168821708,40441.9149648477,36141.6361416361,48301.8867924528,39560.4395604396,55026.455026455,49612.4031007752,42553.1914893617,66666.6666666667,44444.4444444445,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2015,438.591837295613,29.2466110179667,16.1991409232901,12.4803562430563,11.6335042548355,7.49238827731263,8.78107677954009,9.50274452663236,7.25441385743138,7.96308979443348,10.1025340744517,11.4086915894514,8.35629282817686,10.7161376219974,9.66733659007489,17.9468411885363,18.9915858169276,29.8401543271571,42.8937938506912,45.8058975093043,46.1683570016297,50.7707459194905,50.7790330844931,53.6889930853051,55.2744230936104,65.8936608101845,52.8746697424702,62.4108192174992,66.2587753607605,63.9501234231733,70.5560301378274,70.5386263812734,98.163863370189,89.0768888165812,99.1429742434338,102.431925688624,114.733916007498,118.145258583478,128.092597058114,135.371841575504,151.505681463055,159.406370675604,185.067389691488,184.780355905489,209.014813317293,211.820841753482,234.804682572595,271.388061438149,268.426905589629,307.055308283422,348.806377805341,346.823785066797,366.249451177404,398.677943396179,443.542956443023,495.922445656525,553.623271011478,604.034386034847,642.454597845473,686.649760103107,811.94369457729,873.109676205195,936.879478994444,1066.76114727226,1165.06549055603,1222.4681363447,1323.90471007835,1462.36387812689,1582.67092666752,1731.32077557297,1931.44777600065,2175.60257618153,2401.93445879953,2666.65139374918,3055.52983851166,3348.24961180213,3689.7302004277,4070.85878024793,4435.85266483745,4977.39512046874,5661.84359802773,6224.54453340751,7134.39077935347,8067.77455712856,8954.29022504878,10126.9847387082,11237.9966200045,12485.3538957001,14102.8191617356,15306.1201564582,17008.736373695,18985.6058904197,20574.9383017036,22701.0280242219,25821.9173253051,26324.4643277608,27987.1814436136,31663.7301787063,34966.5010710542,37415.8815612382,42450.9904546854,41600,44043.321299639,47032.221594121,46121.5932914046,46560.8465608466,34594.5945945946,40000,34782.6086956522,30188.679245283,36363.6363636364,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2016,415.845014742679,27.5505238756935,15.7128947723641,12.2290640371941,7.94968318174379,10.6199953272021,7.21000676839385,7.52045229455671,5.81776752261581,7.21369931249093,7.40526999869769,8.45595290826976,9.71723192502076,8.57939416331361,14.5570594739863,15.0587152999285,23.0919221072308,29.5884821044358,38.9971689313329,44.4727428260362,47.1969932178159,52.5771342514684,51.2017701183384,56.2032186499885,56.1943995669726,62.0531875262357,64.4391408114558,61.5057500436079,69.7021202444553,73.9045264262359,75.725497312641,82.3485030158456,93.6623883107507,91.9785157913177,99.040160670256,102.003123417789,113.335430229593,112.014706984034,122.831492910233,137.868133751345,154.014478885911,176.391298862076,177.720060916856,209.211652455067,225.912463993087,224.891320000596,239.938967197656,275.074000288916,283.728141916492,302.156586018788,343.786204714751,349.125076532444,385.060101916189,404.091062992583,433.789174962668,511.786066892585,543.707261414185,566.991762261523,634.761344462272,720.604461533274,791.271568741889,872.243636094489,937.498205951076,1049.84469591515,1126.11163883051,1247.01960520513,1359.20599029075,1434.63659558094,1588.84389170991,1755.68695583176,1880.57875324951,2159.7798983254,2335.74849564043,2568.89029030132,2898.31069005845,3269.44310414749,3566.22037598308,3994.72991414061,4422.69944931123,4896.62196870532,5452.13886135912,6093.99839991229,6830.90547572378,7758.84787248522,8748.24721123459,9727.43244061904,10783.3509038459,11945.0143169027,13508.6944613682,14930.9182776994,16417.9334666536,17723.344795168,19617.6309090002,22077.9361083802,23831.0539470359,26399.1233042361,28278.4556694895,29260.3453893777,32199.2935489868,34693.5952413889,40781.36425363,38860.7373755024,41901.3018468059,44717.7193963108,50220.2643171806,52631.5789473684,34594.5945945946,42105.2631578947,44444.4444444445,41025.641025641,58181.8181818182,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2017,427.990572976841,24.3100835497882,14.2857505278893,11.4568469267867,11.1954675030713,9.53732072817444,7.28227110544582,7.89620793586844,7.96895488364118,8.20195876043074,5.9394436597367,7.62115976904075,10.2510320029334,12.6185717857461,10.9992774849602,17.7879873413456,23.9147493537243,31.031858607807,37.6632857717713,41.8688754769475,46.4216032741588,45.4118448444321,45.9309840334457,49.1565238862196,48.9729028772423,58.7908499061924,54.3848450419997,60.1932408728345,67.7869300526367,67.3758434406303,71.4182800285899,77.9551556246997,86.1803666424752,84.6218917866026,95.5579342947319,103.959129342292,120.947026628599,127.36274645393,120.743523405348,143.432556606547,144.582799654594,177.914743890138,179.260351317832,202.767879391024,195.912583101543,224.33157785419,238.216401607685,275.093573369023,288.704835586114,322.481555694751,329.95247216026,354.648006714294,393.926994747012,388.927733955168,446.539814805586,469.168502422405,542.416070129995,589.909610722374,636.929534512541,704.532737505793,779.454847151698,836.699185766713,922.372700521416,1028.90186794168,1137.94539595608,1193.05102229106,1359.28520294925,1471.67935364344,1564.86518244089,1702.55556952206,1870.10402167847,2010.41358247849,2352.2395390242,2608.28160824885,2891.76342242656,3224.16806833548,3639.39583683318,3941.12590634247,4391.02767516198,4906.78910303953,5476.79158232762,6104.75736391388,6813.13013886834,7717.85652494131,8633.70454162731,9670.19450538355,10872.1567879453,12214.9746918635,13436.2045714876,14842.8066819224,16337.2779880259,18393.3586396321,20094.7236698294,21790.8644374984,23811.4713638992,26943.2975631777,29598.8575879528,30797.4615796315,30116.0756877087,37680.1405975396,38745.4283497728,39934.4142831117,46964.0287769784,36578.805809575,45865.4906284454,52747.2527472528,30188.679245283,57142.8571428571,35555.5555555556,38095.2380952381,57142.8571428571,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2018,417.446173052067,25.3339040217446,11.7978532233013,10.505746771752,10.6463096321882,7.81383652862025,9.4910016334361,7.71821498737019,7.38558375743361,4.08710215741895,9.36700089647002,9.60396274278094,9.85342400167761,11.7615617785834,14.4030966657831,20.7421599411578,22.8810872651587,34.9786999897082,45.1619454805773,48.6465197313091,51.2202278632578,54.5471324255076,51.1471217449037,51.919588962263,58.1006852347708,59.292909760538,61.0952524079439,59.7735649274338,71.0865849188946,77.7187568950698,77.6266960854202,88.2516662157217,77.8245358621835,97.5985429771538,99.143396464574,108.25582851909,115.232380989072,135.861305016336,126.50435188148,137.369207373138,158.820092758497,163.81972127538,196.327245516681,207.939974494277,218.617452470879,242.062745551495,258.781830221521,268.923235343187,287.502118708553,323.891806494449,339.40160499102,361.537062278921,396.760583103709,431.824447500473,448.197572807605,486.672049453521,528.380420266969,603.130385486528,657.073628430741,688.15808261797,756.393355502297,848.796561690924,920.791014071238,1039.83442992082,1071.89953752251,1217.67769982998,1339.95769439822,1433.81584198001,1603.70416029781,1767.19221242336,1879.65187186823,2060.34604037514,2195.20106604013,2583.61580602963,2828.6107718323,3167.66186482511,3495.09205275341,3972.86324664543,4368.05369470071,4829.70534095379,5422.94135381802,6107.18818524393,6682.99510146956,7574.94068462738,8495.96324738427,9442.38182407982,10902.8458400548,11987.6168173481,13523.7229209327,15253.3752828608,16169.4031358902,17776.8660611125,19969.3097760991,21562.6782712297,23990.3951102379,25873.2212160414,28976.7740414216,31513.4026881312,32764.1901245962,34455.4455445545,38322.8029867892,40179.9100449775,42038.2165605096,47461.2506680919,47407.4074074074,48322.1476510067,33333.3333333333,38461.5384615385,48979.5918367347,37209.3023255814,29629.6296296296,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2019,434.802768525591,23.3639279643373,13.5540270294407,8.2909696282884,7.28078246569159,8.18047327045397,9.66165644975953,5.07101875326123,4.89089091944965,5.45642069478028,6.94129252252255,8.36575061697411,11.2763892021219,13.5814291561846,10.9189853532861,13.7786532227641,21.1308885843422,28.6553869057163,37.1695518978209,43.7935110492683,55.0361771137561,53.954574903304,54.2062704956602,50.5268885639189,58.3849546989198,61.3158891486763,59.0824233122362,66.8205134623201,69.7257878800802,74.5346646952788,81.7108090825298,84.3248260731479,86.4816043127902,96.4652264960433,92.4109736344859,109.127012676806,107.794392561035,129.997087166332,132.074278620076,139.293264528121,154.09415140761,157.361967831582,168.910896934832,188.850821177437,213.320625578328,238.044414977715,251.753281783852,265.44456740866,280.11630579474,308.454453618734,345.858495961634,365.282395393541,382.581292435169,417.179458795389,450.274000488229,473.656798634715,547.136933275202,564.861989666449,623.553147053927,685.876509561623,744.703486428159,811.005463636263,919.373668255737,982.544052187126,1073.92922360282,1195.52334734744,1295.57912889864,1413.42756183746,1544.61196631758,1702.82494942627,1796.01288143687,2027.75844668817,2190.33720344565,2393.43902877015,2745.45652590549,3074.54407456536,3366.16387152261,3693.21152659871,4253.23624382554,4751.11254330996,5324.61415140856,5829.55041658485,6476.37300037016,7328.17313691523,8277.84945057742,9243.00578862138,10306.1125360672,11419.6921512342,13046.9199415898,14534.5444148072,15432.7228269814,17211.6938618078,18664.5947866688,20752.4532883385,23062.3041758693,25046.265519162,27073.5683717139,29193.1163541628,32623.648869964,35021.0260723297,32899.4529334088,35497.3631569376,39255.0990245344,38115.8635625338,37566.7022411953,47058.8235294118,41269.8412698413,56774.1935483871,14285.7142857143,1E-10,53333.3333333333,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2020,414.670017804419,20.02659264482,12.8575435349353,11.9497263064561,7.7489087205795,6.27419183582853,6.22625864716571,7.27379807819216,8.49262017129271,8.34876502052985,7.08514902577725,5.23986057207369,9.51739944198297,9.51889607653681,13.5121186814424,17.0460488679228,17.6299841297251,29.2423351211847,37.6417952985398,43.8270478366392,51.4099233569935,43.5908827992053,43.9671976641257,54.8519977592618,50.3523251540911,59.4148372742257,61.9950448246315,62.4129210184333,63.8539541019943,66.4501552184337,72.112428657802,77.5262130032702,93.1811704645428,93.1409735430584,105.420599655201,112.359613811676,122.779869860249,139.473832086762,136.914387237409,161.600046760865,168.68817651586,186.466142136377,186.985104907854,206.98005569972,230.383761496987,259.487593093513,283.96468556419,291.376817243718,321.449304294691,357.643211011156,386.847520309075,421.38053972008,443.40984584871,473.064766458147,518.549843293585,554.762920960104,602.73156543755,650.585118312864,725.780098949167,792.74231562481,869.541217773249,930.483700438563,1038.36286531917,1135.27029598021,1199.63249398697,1323.54099480521,1517.58301797769,1580.54221505437,1746.03137238286,1909.19430062325,2088.10276288029,2233.43148655525,2464.92623317745,2757.19893070444,2971.98463821779,3471.61852638581,3870.88151815037,4280.44193561679,4848.22138875949,5468.71020544145,6167.8763904707,6699.1250229452,7586.21926225515,8335.17290072435,9367.71908305941,10477.5470425069,11781.5121685151,13435.9130783526,14714.8376987589,16281.95431856,17493.8112573509,19652.5040975629,21317.5684284482,24128.3988830826,25714.2679337105,28679.6350490618,30052.4199071134,32107.4653160097,34490.6275468623,37935.6123464985,40254.6390356224,41666.6666666667,42395.735340232,42477.8761061947,48062.015503876,43076.9230769231,52054.794520548,37500,54794.5205479452,1E-10,40677.9661016949,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
