year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,,,,,
2003,486.279005653573,39.0864541584371,23.2210945800682,17.0374896209556,14.2324205099346,12.5131174441389,10.3205471284647,8.11914708359887,9.47083782791906,10.3511984576714,11.2692948943051,10.9535202364656,15.2294910058885,9.44391413514569,15.3192899905278,16.2423569231737,20.2011274754272,26.3413155807202,26.3325920574319,29.2691900401323,29.2092390752107,28.2067077042622,33.1800064335249,30.8772412352583,28.6294615219703,30.6776483351449,38.1259684801966,35.9886799243147,40.2410914804283,44.5585554166969,48.2380367119058,47.8228777245875,49.2686886160884,52.1801519746926,63.2189429500459,59.9996678589815,69.8595027259189,71.2479444182212,84.1921874234794,89.1544643049125,103.028213572367,107.524649260932,118.063654862831,136.257671408802,152.41396918016,158.206093115067,179.033456877254,211.592163210155,222.885983032738,235.206943372538,268.064059819485,286.978647856324,317.539431162275,337.437232075197,356.034083319551,410.901248160099,443.629119810798,441.15542764268,528.965497956382,600.495314852448,650.446937372253,714.150920174928,764.113733520977,819.447773805213,946.519933540779,1053.09105848319,1111.90393850383,1262.5544200623,1373.56161939772,1551.06232308136,1658.89740094848,1895.50946605475,2168.98561156588,2414.21382548507,2724.05659183006,3079.5960953992,3421.70813825736,3843.21480316945,4226.50646660931,4815.51134078909,5300.36761274511,5855.76367707086,6712.7613207044,7597.92947292318,7597.22457329203,9279.74150743862,10636.9114564913,11897.2761176415,12936.3826401672,14393.90420859,15741.7312824478,17060.5279141318,18982.3783462605,21401.9049006574,22905.9590533113,24976.5591343352,26915.6670557298,29648.9677885774,31265.8901436765,32354.2899569803,35691.3183279743,37561.9211716563,41344.2325158946,42537.3134328358,43627.8798483523,42737.8964941569,51689.8608349901,36923.0769230769,45714.2857142857,61016.9491525424,1E-10,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2004,468.501102804789,36.5057317015774,19.0821551102827,15.2320258705602,13.6855579430904,10.1069094442572,11.5965599229253,8.04120981388065,8.07319043090306,7.20744196103407,8.15298256484679,7.50346365241813,12.7708470231709,12.3922415531868,12.0900511691704,17.6501813095117,23.9745426839696,22.964749110116,27.8778948206854,33.9407030921888,29.2740439943225,30.37503763279,29.0143495741155,32.618040515811,28.3657587302271,32.7584015472448,33.6988724918912,34.4634828382195,36.5189149854428,40.0021559603537,47.1005013243868,45.214432135739,49.0894029387735,52.4681236858857,60.0358007606006,65.1952227229098,69.6688379408798,76.8912144677666,87.2073189317522,90.0550287180391,89.4760595225342,103.208169438387,115.137274436357,131.381951404426,144.740315247204,157.954971516585,185.548976945722,199.483435638555,207.971417527225,217.755215917906,261.349372332792,283.832109413653,280.525095183007,329.584999574219,346.185468864944,371.773862521071,426.467281851102,470.259292846137,490.841398232115,553.927533756742,625.609359766006,656.896656350507,735.446626820334,813.391891477688,896.105322405722,965.090596769883,1094.47076862523,1187.4635949477,1361.8244372537,1462.97878005721,1605.92563284234,1765.70857579498,2014.78059459478,2300.6104939166,2585.5386196815,2899.7998466933,3238.19178117951,3582.09088136355,4060.12601177966,4379.94907615268,4967.75487552927,5626.42889366963,6275.21106110949,6964.68679974616,7947.0603340227,7973.16065938194,9600.36382796903,11111.2243442105,12403.19227416,13416.0151602462,14761.3150173076,16378.3578381222,18317.8321026736,19724.4682384181,22400.0623696572,23480.0327240761,25584.7333670526,27952.0810273389,29280.0581184163,31437.6330538298,32972.4898202403,36516.2426817263,36677.6462209561,40400.2501563477,41322.7657830008,39013.1956397017,47899.1596638656,52032.5203252033,36363.6363636364,64000,66666.6666666667,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2005,441.733200215027,37.8818619168251,16.2516932232877,13.1839871706928,8.78384952962864,8.30196007794948,10.3603681384145,10.1493433586292,6.63276586336502,8.04657300964375,8.56459761413794,9.2050990834158,12.8289335214019,12.4876383762038,14.1794649765604,13.0935811337208,23.557758060516,24.7840112147651,27.4826774868906,27.86376810379,30.0166727223807,27.8162760960376,28.1280250932951,30.2195456338947,25.8630563482103,27.5492173224313,32.3835848373426,38.242605203936,36.1230163931775,37.6419924064519,39.3802217950349,43.5286432463911,48.7685352985948,51.8636234746035,56.9109761846717,57.1823349471764,67.6161459388995,77.6261745224071,77.0241326498669,86.7160199227444,96.1951244342628,95.8759474095308,119.583822717516,126.66980975232,146.497478206812,146.966797750941,158.102295523714,184.375625201813,224.340013136689,239.944384782597,260.504067379457,270.461484910903,309.723221902549,316.774137926922,356.372851716244,382.650288074791,422.248139668459,480.205362373408,497.626857392537,523.983754861017,573.879424912408,667.543371678822,721.96034114845,785.656921745116,890.403405358985,990.226025331202,1115.38191178633,1187.01630922615,1275.11722005061,1422.68574837007,1536.023754122,1731.30972456436,1985.46441977478,2142.03239594467,2482.64823834867,2800.67312403693,3157.62778162249,3509.2830751561,3993.80144629067,4449.72111800613,4930.44716534111,5563.04846648333,6150.24082593577,6978.69669701082,7777.69428285025,8797.24170939846,8688.18860286806,10646.8622515407,12293.0043327096,13881.136014181,14715.5790812895,16500.314306303,18012.301564056,20457.2239423616,22049.7146412053,24325.7471450555,25708.2338701543,27664.5084689164,30569.9624049834,32656.4719645692,33537.5685262818,38677.5684322787,40226.8178785857,41538.6865584321,43165.4676258993,48955.8037882467,41932.1685508736,44979.9196787149,53543.3070866142,49315.0684931507,90000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2006,456.116150443918,40.5174650961298,20.3998373958104,15.3305961906535,12.2378424683728,10.2696539277651,10.6382389281974,6.59478588988213,10.9565219223499,5.23037388226566,8.00548789998109,9.89291945205592,9.69540602710876,12.7759896567717,13.2175416214878,18.2380326557112,18.2821384486757,24.7739297417872,25.8732792107881,25.5490572238203,25.9759256130192,25.1715434455232,25.6166357446247,24.6425814473098,28.2504785692484,29.992196586755,34.1294036915428,31.3877727048162,40.9057860574608,35.1466824826738,41.5412181378046,36.8955782481613,39.8949433159347,53.5705789440605,51.7914575483807,57.1059282274385,69.2965929814722,73.259601089656,78.1101805819049,89.5699146010788,93.4599956719868,102.29493063125,116.892329438406,126.987175895913,137.751399720944,155.762669312303,161.453549247275,184.863798789847,217.658025240897,219.333892777293,260.575900044957,261.558134401207,306.067712130475,319.582786428267,340.982404240661,370.17826023681,428.566893472027,436.135016074791,473.490258596898,550.582258873108,559.432264524843,651.625674834583,717.894695772615,791.328410935239,869.677657396367,926.421897637031,1033.16011432279,1152.46518959629,1291.91217662767,1331.12452556789,1506.17137955275,1708.29894650378,1874.60558107493,2107.23811576226,2438.11205749431,2691.38959316995,2969.15380282407,3370.74903310033,3791.59101477519,4298.16564650952,4755.39730855295,5363.07816594773,5902.54531457284,6644.6281704908,7520.09469748878,8434.17054502096,9532.82015784842,9388.17022202924,11468.6085512143,13018.5942583857,14325.2673831866,16143.5537351278,17656.1882006814,19625.2160938316,21311.3587414552,23361.2130933582,25445.8115850631,27242.1922646301,29040.8468082343,30469.7825303376,33622.2160096916,35668.0282953074,38605.8981233244,38858.7334725122,38027.4529740722,48285.8522452921,49056.6037735849,35555.5555555556,52941.1764705882,67226.8907563025,71794.8717948718,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2007,435.424871715516,32.7127974404177,17.3797739888604,15.4258222559922,10.2046061040802,8.84342487548686,9.31377390738729,7.92965805919416,6.55269955195917,7.5408989030785,11.4849531731798,9.32754568268375,12.0193990368774,11.2440316278547,13.2369419222555,13.1308606120526,18.8677862190582,25.3730140519247,26.4516379631083,24.2526374743253,21.2734273618823,26.6796853649883,26.0308806526696,23.7406226834919,30.2675164171009,24.9781816184,31.2933116769392,26.5893833577762,31.5534982784239,37.9816400394125,40.7387738554951,39.7935001581081,50.3288360324269,50.5750921967359,56.0157781681434,61.6824560344885,60.8066600666104,71.0782571611344,76.0871487198337,88.5745001554568,101.756959795773,106.796324078869,113.660728429416,126.057666678861,127.282001589426,155.234900741219,161.749101088394,185.205321846862,205.133477221637,215.604530503127,248.444698354085,265.31695038123,270.622293818969,323.399889066317,355.663989698756,384.304193239129,414.00076553396,446.581770994089,473.136510431708,511.250114660717,572.07467890604,645.790196059345,677.735468083005,800.546852427362,844.522635215909,911.39438745156,1016.06311014262,1128.37240208466,1207.05898746389,1398.99842382875,1546.61063058649,1647.69262918042,1838.13539135585,2083.71489797667,2315.6850664129,2565.96841401091,2939.93861876315,3284.46824990339,3635.89862340454,4184.25144886452,4763.49968367385,5289.00979353913,5918.69616967298,6662.12705268972,7498.69578853357,8431.38323274605,9437.68129585719,10634.5136627168,10264.6268080153,12714.0441913236,14529.1764201181,15822.9180505452,17978.4260745725,19746.4123687059,21450.9592971131,23695.6200306212,26285.3269371155,27111.9666920356,29595.7094682876,31426.0194316338,34653.1224748932,35908.5348640256,39012.3456790124,42906.2087186262,42893.935846406,41687.3449131514,40515.6537753223,37426.9005847953,35897.4358974359,53333.3333333333,57142.8571428571,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2008,418.962787458949,32.3076419823269,19.8911121841875,17.357672527333,12.512644500129,9.29206457685137,8.82279567013697,9.56966058731549,8.764680383148,10.2027983300003,7.78636711400041,9.25675726264075,7.65022096843601,10.6084309144638,8.52637013105963,15.5038199507228,14.5451715293578,23.1933016736362,28.7438188071061,26.9825540923697,24.9685368896363,27.4130355102833,27.2053895562001,24.7174134177528,26.8153963471205,27.7025427531133,31.7910709794971,32.1263762532145,31.9337656132046,37.2983443984073,39.320184843418,41.8460653256311,52.6626430447444,54.372038804925,62.6279364460474,59.2715837384676,61.2911538756208,71.8660996027342,82.901870909788,89.9121028915572,98.3295940951163,107.559756443456,114.008269260337,126.198541803917,136.975470604467,147.805590858448,169.027743345694,177.685761489038,197.037072572007,211.052309326831,259.199440520453,278.153136438724,280.382776057323,303.233040842036,362.226020283984,368.332905382442,398.127337202251,431.176321735882,467.334981519694,541.70507628409,580.238954617068,642.465822535339,666.238890329979,754.246505088732,838.860222190451,910.843326241065,972.540659485897,1101.37662891288,1217.16037636875,1340.29043817187,1481.32923172489,1625.69133962966,1803.94902321649,2062.53036380354,2300.55021352977,2533.34025385842,2891.09599026116,3214.44074071041,3635.85186876614,4111.55915746033,4680.29597928094,5289.46294460904,5857.76438927159,6622.05416839131,7398.89824635587,8271.78336186055,9244.92275342937,10553.6551962027,12277.2132182336,11545.6114051369,13961.9102667697,16455.3052088454,18260.8041067383,20113.7894383849,22040.8191926746,23810.4849808246,26079.9227484496,28110.6437760672,31806.096580721,32725.7708262252,34438.5026737968,35851.9694764236,39262.3613253986,44347.7147612342,44321.8390804598,45714.2857142857,45882.3529411765,52599.3883792049,34551.4950166113,62222.2222222222,90140.8450704225,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2009,418.64193151853,25.0522541744297,20.6937223738806,15.4147866533657,13.3642939476454,11.3335934247722,7.7775820918181,7.27920962948444,6.84430362372399,11.043197063672,7.62227666817583,9.42030817568459,10.3065695905342,10.8888870740744,13.2733459362399,14.797590106754,19.7660133154009,19.6060749926085,22.9414730337477,24.571899798771,25.2207511147665,26.8624479313193,21.4626041252813,26.3964871269564,22.8058883863365,30.168017447566,28.8339134090401,31.6962513019676,35.3013035935334,39.0863450515786,40.4485918379828,42.9938017269177,43.7543725886669,46.5925535297201,58.868605025193,61.8090228447966,62.2624140043967,69.299184235324,75.9013487313882,83.5535044330683,101.093649480746,103.542971529138,109.023912385185,119.644121488984,139.053186024947,154.632613966908,157.568828273997,167.656426893535,186.104832083071,203.71182161502,239.790111715216,222.164460552322,280.175553036396,310.698636403676,344.31575669252,362.269203540898,398.248688427041,424.064848661857,464.019902275429,520.951218833379,553.723838370953,605.68778687361,654.235636279133,724.339660841428,800.221078530422,864.931515603766,968.014999643996,1021.37186843122,1161.49223672796,1257.79166001687,1447.86959710426,1557.90684088022,1723.09163727659,1927.56230347252,2151.95437086276,2383.4232441658,2671.87468221742,2980.59652939837,3394.82319946393,3905.21636224637,4402.86268450311,4888.73325140174,5509.49905174123,6283.01456606898,6980.50280980089,7794.74427306675,8811.98482271359,9890.57804199709,11151.7977069381,12810.8304941862,13030.5647574171,14719.0606639348,16878.5452789959,18144.0120561277,20157.0031676078,22338.6237843312,23575.4274739196,25396.091511794,28143.5406698565,29779.7017122627,31738.8442806371,35651.0745891277,35662.9121997557,35732.9531955334,40934.3715239155,47540.9836065574,45363.9846743295,45547.4452554745,54945.0549450549,35820.8955223881,35164.8351648352,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2010,404.993365151025,30.3034498649015,13.052215073147,13.4201263002978,9.88382049471954,8.22590023968571,8.41106620778017,8.05567065136437,10.2765487268981,7.69648041430746,7.51316157812514,6.73533197293659,9.36961440936466,8.09201702290648,14.8921486899817,15.6106488848816,18.3578990433568,23.2118942904543,22.0721946767571,25.4186435461913,23.6660621045046,18.4127930147678,20.1094724191193,26.2554417951153,26.2186400485045,24.6600733927986,28.2035153919216,34.519997107784,37.2991046477349,30.3084748350685,42.4132566782871,38.4241764918487,48.5605206145448,50.2192074878392,49.3633707334701,62.1649308678293,68.7171933623789,78.43542217924,80.3867669391656,74.3153496469886,89.9814657741693,108.486506456869,106.902063735839,119.395284991755,133.939829624351,135.693858422085,152.125401689746,167.913899741498,184.161356041452,206.916987873373,219.467972273958,251.200941823244,288.217126847813,296.57885992494,341.369017213973,348.775668976742,393.284125450328,436.554829712825,471.880046200284,492.152099288857,553.378843709243,605.386948831449,638.154276703843,699.686707888843,760.256671984954,840.596556746825,934.33090254759,1004.51095389002,1123.72678211122,1275.52413833372,1433.60624928049,1536.46850470405,1707.19126053745,1888.56438046452,2078.17752376039,2318.04318800027,2645.07982747665,2954.39672778523,3365.99418364247,3790.55167818188,4226.33468827239,4819.65163975912,5475.76402104556,6200.66204521502,6996.8236361803,7817.7113649979,8726.72200207324,9707.19306116345,10909.6091266291,12274.431657936,13660.2400485162,14551.5299545424,16790.3688977248,18987.9890741734,20862.9957867209,22328.8439455576,24903.6259818556,26534.2689578416,28192.7050004571,30567.6405344522,34044.3177400544,36883.5811195061,38257.3351962403,41664.8315349042,40923.5668789809,39629.4804671768,44547.5638051044,49211.356466877,47323.9436619718,35443.0379746836,60115.6069364162,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2011,368.547918959693,30.5798826872772,15.3994084539098,10.9384415890279,10.1669350536858,7.93972924154368,7.66128603198587,4.35493441287319,6.56618415161916,5.73911710479666,4.42746429895715,8.63689313680083,8.66529326427188,8.23476773837594,9.12785983902751,9.13600590615911,13.0617249807156,17.3487037669991,18.9620610243369,21.9842275246756,18.7108186723312,24.2999832937615,22.6479459374657,25.2153133291848,24.8470787121202,28.0563039007827,28.8570806907462,34.0250398658108,32.0664952993171,33.4647090575902,36.9185541372425,43.4721802356593,44.8219341379824,49.0669067741417,54.6192385318117,61.4362234167452,61.8910883950186,64.1196448376578,75.0062335869438,81.3680729800473,90.8127173311606,101.9206002667,109.373226790566,119.085307876722,125.478948665666,141.891612204146,164.992351917021,155.029518366035,179.765891886029,198.015128838807,220.160812622402,247.746569832389,265.734551624047,294.668548655852,322.552848077418,338.145342584488,376.852192944256,421.369573288644,420.426667160963,505.848700933025,546.777797658926,579.878382849921,623.572461649108,687.81363513928,756.976203458914,802.464199144244,913.935473916838,1011.89580802385,1095.01709149394,1200.64952590803,1370.64905331076,1490.09209831642,1693.51931670471,1776.14342588234,2048.32214232266,2253.9328792047,2522.68162986238,2879.73744234261,3225.1428744587,3594.05745594813,4110.13028947679,4589.48292404107,5232.39089974798,5964.96531204343,6632.32432878504,7457.61732999158,8455.13447658428,9385.85392977734,10615.0690708061,11811.8270049666,13364.740986061,14524.8350013944,15703.0399359223,17745.1238578443,20053.8502961766,22485.9760059299,23683.3157564127,26248.102514313,28064.2689888101,30333.1563791966,32122.485740018,36061.0913636186,37034.1715022566,40164.1932428166,38733.986435569,44708.9947089947,33356.1175666439,42213.6422136422,41860.4651162791,62222.2222222222,59863.9455782313,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2012,362.218161605135,26.414442604464,11.0770396256105,11.6824704530851,9.59630049647887,10.9266061861247,8.73075312294947,8.19666049679535,7.23001758701778,6.24039100507069,7.21645532224856,6.46221349170652,8.59620405955737,8.07163717155917,8.74895721657394,12.0388574187954,10.9846904226226,17.2571315925976,15.6657946683009,19.6908106538502,21.4723597049698,19.4155680106294,19.4912547671382,23.0468453320972,22.7055952951254,25.622167098656,23.3017010818565,28.9697295066467,33.2013116839885,32.6598391502922,34.7601279607211,40.256950791848,41.5658210191734,45.9706050136542,53.6117096066114,52.0450885668277,51.8212155424465,64.1299634564441,73.541863221811,82.8983058964903,86.4697368424709,92.9705794924011,105.593781699522,109.186663522119,122.499728177144,143.412527453349,145.098546970151,164.259233588929,171.519375803997,199.020286182808,212.997519699935,241.62385308861,260.902480045258,287.45567990015,299.480319005745,343.686638353313,371.522913880355,391.612290235018,456.163380020861,509.587475166219,530.901810523894,588.051154321992,641.985497446834,673.201013904791,731.686308288634,810.221816307523,885.653120398891,1016.9079243099,1068.52749527644,1198.89449410637,1350.288305526,1450.26234735099,1686.67346121751,1846.07879753348,2055.70023507782,2271.28124011389,2548.94989407426,2861.70861225364,3217.99177389533,3660.06183122206,4181.44950704795,4731.40351877546,5230.0347077068,6057.80688279215,6918.96996045876,7710.01453870005,8795.63045355797,9655.38542910525,10909.5639932794,12417.5700662157,13914.3212849766,15422.3393353828,17114.9046765491,18070.5983951639,20529.6125243343,22737.1022551745,25683.1600243006,26773.025260166,29424.150682492,31956.3900666263,33687.7370123072,36248.9330908821,37985.6819433397,40179.2991035045,42482.8556356603,45278.3758843433,48440.3669724771,42203.9859320047,49586.7768595041,39506.1728395062,84210.5263157895,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2013,347.107660916635,29.6510982905011,14.393570104363,11.279431272618,9.04559594162877,8.00602776412951,7.43341452568842,6.7952440087183,6.757127713937,6.62430233315849,8.57978329390454,8.08002214524588,6.43144626417019,8.27396525505211,11.364872703031,13.0773487718701,13.335053555242,14.1455267774155,18.9777327935223,18.2491811630431,19.9406396698716,20.3006682401652,21.0217554956153,21.573921999833,21.2398962592676,25.7589266506015,26.6273836242738,28.9240096252677,34.1195523926909,29.8317972270304,40.8099397422898,42.4308182332754,44.2565244330058,44.6874641973043,53.0346586250586,57.5905915159965,63.0424140355572,61.8850371768046,67.5401112185238,88.0004762663139,81.926978229008,95.3386564083161,102.628207265948,115.828710416815,132.053363020411,128.870158530497,138.787052834259,163.129699905828,169.085059062495,197.659054427471,216.580713208445,229.747769848411,253.150593328811,279.136823054861,303.767422332399,346.033376154964,374.440176791993,413.094704940156,436.368446334011,463.611325967323,509.837492755241,582.326927126729,626.675535244554,685.4048993859,725.098207018999,810.137434028987,869.674798105785,974.013676399034,1074.90307557104,1172.87896471475,1309.63548149382,1425.84982716148,1623.52442546779,1848.65492548868,2041.95729597762,2270.34150101319,2522.45611274232,2846.59420712037,3152.40902620186,3599.72498101145,4092.07416634666,4587.14070191647,5283.39644633444,5909.15577232005,6833.81064521154,7820.96145627494,8546.96283893121,9832.46068031727,10806.0533785713,12307.769229327,13659.4939370575,15436.5671996728,17155.3026387612,18954.3563346747,20275.3637776958,23203.0527049087,26272.3538704581,27330.6274365104,29398.777173913,32291.8876329586,34245.5503911121,35412.995792729,38485.6522787557,42204.2735916573,44331.3953488372,45856.6978193146,47486.3718958207,50188.2057716437,61030.9278350516,52918.2879377432,60504.2016806723,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2014,361.997695925627,21.0542505129727,13.7046116965223,11.2814637202793,7.38595700354271,7.19217260443661,8.21998477376258,8.71729610607629,6.76324124278616,7.00533245906784,6.59077721023863,5.00178740343976,4.76008431299339,11.6280126091262,11.6360540296045,13.2346661400372,18.6934054609804,16.6886919873418,20.3356437617772,21.2396990697271,19.1734858081967,22.3410642724493,23.7191788745831,24.8349274774549,23.8890445760384,24.9700044957462,27.6134222734504,24.1668424082486,35.1414443133613,33.6974018847777,35.2264986155468,43.9003519173393,41.64616124233,50.724293086777,54.837394893808,58.6108574240469,64.500483438682,64.1822776685788,77.8818898456445,75.5743091804263,96.309697227898,100.174232439582,109.463028889747,122.597650641863,126.68738827593,142.704016808312,149.873165847413,159.625333826759,173.124696416099,181.931853704283,218.249139382458,232.322451538653,253.229641300213,266.834083045278,289.906264822403,332.221495504492,357.313315863857,402.851976868665,421.742987593882,458.493928099567,526.791404095646,569.114118543947,613.116928592301,663.35620465887,745.224232157553,786.240391594295,829.12182518502,922.290199014882,1052.19366737741,1154.02721005999,1292.84344105061,1434.99463461812,1611.13353899628,1772.2863111004,1983.24520113537,2228.34617650431,2472.04399214383,2767.74351197477,3012.01046932988,3482.42190002598,3952.85472228601,4418.72712243124,5033.85702432888,5757.42296918768,6567.19722686423,7274.43017018631,8333.2800693953,9423.28272859974,10385.0916240242,11784.9966928328,13243.4282124065,14415.9693699293,16221.3829007322,17801.1379406051,19605.623526319,21258.3200089243,24190.4341958458,26351.3062069887,28309.7599306346,30547.2564308096,31379.7313797314,35422.9657999059,37942.4049241592,38106.1912976807,41105.1212938005,42946.3171036205,42666.6666666667,54171.7049576784,64665.1270207852,34951.4563106796,71111.1111111111,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2015,335.456900614557,26.0801178612686,12.2046528052153,10.6294181531898,7.96671407276473,6.32632113355022,6.89750971159788,8.17829709964361,7.62442853757874,6.19328224099879,5.57648868722137,4.8439638155903,6.72680085415747,11.82951160013,10.6961572248386,15.5213716941683,15.0768318779051,15.0508807116917,20.4084969992314,23.2964548296301,21.0560029427667,18.6012018579174,19.2956779765742,23.3020288471121,19.3249958709675,24.977768366962,29.4475581461856,25.9773923904716,28.6775985898299,37.3079066759673,38.6561778817149,37.3422725693803,47.563169834937,46.4556992503353,50.0994230949878,59.8866067517045,67.8481183228631,74.0438151138486,78.0327059375854,85.1686839271431,95.5235051217709,88.4310447182179,112.730274589074,109.542019010197,125.272152677316,145.875357972593,156.004409098621,160.772643164906,183.287932701727,192.051537668909,214.771531835557,230.420014585209,252.007750366236,292.415138047435,304.044198089126,330.271539512518,356.237732380944,385.928371966991,412.377350937424,483.701821360727,532.185653869684,563.57417588268,619.959610800041,686.79876881179,716.682361427484,791.886001583772,875.22869628796,961.811334647451,1083.5826923996,1134.6154844172,1312.3863529724,1452.75171217735,1581.70552573696,1836.02509147253,2049.47043017699,2253.13766787602,2539.03980812731,2741.41731233372,3113.28668127019,3542.82918845026,4101.63525657861,4669.19230108044,5280.19234325874,5990.37553482975,6882.54527911949,7705.43949695258,8717.26165521646,9895.32484273744,11340.8976393893,12707.5898493524,14319.9690239009,15607.2616032861,17619.3165341351,19555.015361761,22124.8144631801,23138.9154487092,24898.0562107996,28536.4992257328,31220.0133079626,33380.9730938918,36164.0972040763,39253.0790623758,40271.8682654584,43598.357596118,43886.3185723728,47262.6043922054,51487.5531268974,49327.3542600897,49266.862170088,69565.2173913044,92903.2258064516,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2016,357.843475373562,26.6662414011175,15.2337594568726,9.57711215364138,9.07515856233546,6.67758782032713,7.04659339677574,5.33731344421602,3.81542621331349,7.32725345754773,5.62712273156615,8.31913015175133,6.51538001485082,8.72310783978413,11.1776212257144,12.930918364598,14.2991071819719,14.4101327703412,21.7750662214285,18.2282640787666,21.3202569090958,24.9940717186142,22.6523968615586,21.582178984881,26.4273075401682,24.7167455394346,24.9733392729384,31.2156999250486,34.8715402975908,33.8453279718748,41.1440057062015,42.3462765403317,51.1275157904708,50.600842458645,54.7208459571442,58.3320031271809,64.259536120817,65.3132827057147,71.1335087041491,82.4546204423001,90.6830948361677,101.685111420724,104.014653334534,117.102847828083,134.580639092023,151.667552019745,153.477550927504,170.385815114331,173.659716651244,188.516749686881,210.093274711096,242.33325458718,257.099561384361,276.048295552269,304.434737216843,341.208809235461,373.367369148922,406.311287812723,438.778067680772,493.647978212641,517.210754384544,562.376245788105,653.988801165219,685.964539878671,740.968731119547,787.229576002406,912.870083993925,958.293591123089,1029.01733485542,1174.10019631628,1261.657082714,1448.19714557322,1634.88925998178,1787.04572136218,1924.60781795975,2169.65216096859,2558.17625863133,2774.84892011854,3144.18420581165,3399.80708959773,3939.07097070301,4353.55885462035,5021.30307170005,5799.99026270645,6516.54842969409,7449.76311060284,8447.00557881627,9539.8932930543,10725.3433802309,12166.6294922389,13480.4595636727,14984.6626266841,16672.6349309029,18330.0412338343,20056.3173563643,22642.0973133338,24530.3328977386,25988.5077089378,28799.9599444229,31583.8675213675,33379.2596674933,37061.2136148671,37814.6362142971,39630.7467324742,43147.7684907743,41500.5861664713,46878.4227820372,42056.0747663551,62639.8210290828,55000,75000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
2017,353.62488908664,16.994501494405,14.5277303370996,8.97473200104035,8.0088823510825,7.80612036427749,7.87765509287325,6.7660715342913,7.08795487504157,4.56147875538785,4.17053581610544,8.5359794869743,8.82795454568966,6.76570436268122,10.1276664699006,9.06926652306995,16.0003885808655,16.1471000817447,20.7049915163314,18.5631167211523,18.9562379450174,19.562275280714,19.2351618759092,23.338633147944,18.855966603988,22.8944987269144,26.1169057995854,25.9502169695404,29.0351615806742,28.5113038202661,33.0521112315206,41.0267447295766,45.1412010029881,53.2281508676871,47.7577887917449,58.6562860080506,66.9403245538739,80.6153411897537,69.4669091728993,84.0135471844835,92.2202241881293,102.81197634449,105.444103590249,116.394773874653,129.242612327841,134.941646033683,150.09348680035,165.130039906426,176.344137610265,194.658719694362,219.104951008186,233.631580284533,265.276467818805,274.883832617863,296.643839837083,315.571480227475,353.239947665616,366.739351874243,418.057914389274,453.229430901345,499.538693939709,558.296060093736,610.986867919948,686.667234274663,734.621751905855,779.993175059718,870.730575948425,956.440728224044,1025.21834494599,1155.72909704762,1249.80731298349,1337.76727854605,1565.05621146795,1779.9930259021,1915.91495070467,2217.55340583598,2523.59534186712,2752.30467646692,3177.99326921798,3457.25013741146,3883.49288845827,4373.13693683493,5010.9213061409,5723.81157697242,6622.14941908106,7401.8257665879,8521.30800253664,9513.69862365033,10887.7909378873,12114.2362078035,13498.2724459676,15342.1877642345,16958.6234422813,18773.4038787563,20848.7069124922,23443.2028552259,26105.1889701348,26847.8759327969,28675.1320118952,32855.1778345451,35232.5466574504,36469.6379025744,39318.5075102171,43953.7691909608,43705.755617113,47390.6911142454,52994.1706412295,46302.2508038585,65603.6446469248,66341.4634146341,62745.0980392157,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
